UF;Ano;RCL ano Anterior;Perc. RCl;Montante Pendente;Montante pago;Saldo após pagamento;Montante expedido ;Divida final;;TOTAL (ÚLTIMOS 12 MESES);RECEITA CORRENTE LÍQUIDA (III) = (I - II);;;;
TO;2022; 10.053.168.262,52 ;1,5%; 545.547.093,14 ; 104.100.478,12 ; 818.005.454,98 ; 219.077.132,06 ; 1.037.082.587,04 ;;;;;;;
AC;2023; 7.994.706.978,25 ;1,5%; 132.951.741,19 ; 57.571.599,29 ; 57.791.134,99 ; 29.529.239,43 ; 87.320.374,42 ;;;;;;;
AL;2023; 13.177.911.886,17 ;1,5%; -   ; -   ; -   ; -   ; -   ;;;;;;;
AP;2023; 7.244.043.461,07 ;1,5%; 365.019.413,67 ; 165.292.512,70 ; 267.580.689,28 ; 309.499.553,03 ; 577.080.242,31 ;;;;;;;
AM;2023; 22.412.466.141,44 ;1,5%; -   ; -   ; -   ; 869.591,27 ; 869.591,27 ;;;;;;;
BA;2023; 55.345.564.180,74 ;1,5%; 5.453.229.660,91 ; 394.175.754,88 ; 5.898.061.548,99 ; 2.979.394.983,38 ; 8.877.456.532,37 ;;;;;;;
CE;2023; 30.383.651.351,44 ;1,5%; 638.998.334,31 ; 250.659.431,25 ; 595.269.300,07 ; 247.270.430,48 ; 842.539.730,55 ;;;;;;;
DF;2023; 29.460.072.799,32 ;1,5%; 4.311.936.087,37 ; 143.455.057,94 ; 4.557.688.483,27 ; 627.517.079,80 ; 5.185.205.563,07 ;;;;;;;
ES;2023; 21.250.420.141,80 ;2,0%; -   ; -   ; -   ; -   ; -   ;;;;;;;
GO;2023; 37.208.349.134,32 ;1,5%; 1.357.930.851,84 ; 540.891.948,87 ; 971.036.051,05 ; 744.873.857,57 ; 1.715.909.908,62 ;;;;;;;
MA;2023; 22.168.930.851,27 ;1,5%; 2.209.091.913,74 ; 537.965.246,20 ; 1.650.985.718,58 ; 285.509.561,73 ; 1.936.495.280,31 ;;;;;;;
MT;2023; 29.374.848.838,94 ;1,5%; 371.866.452,59 ; 815.599.947,25 ; 608.627.296,36 ; 339.299.315,36 ; 947.926.611,72 ;;;;;;;
MS;2023; 18.366.590.887,86 ;1,5%; 133.589.187,07 ; 172.611.774,29 ; 139.254,31 ; 78.471.137,71 ; 78.610.392,02 ;;;;;;;
